key,category,description,duration,Total Time,durationInVehicle,Time in Vehicle,location,timestamp,userID,username,date
-Khd02jM4NTavQbdcb0p,Check Out,Vehicle is checked out by ndamji.,0,0.0,0,0.0,,513808336,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-13 16:32:16
-Khd02jSnjO0Ze4MQqBP,To School,Description of the activity...,2582,0.7172222222222222,2445,0.6791666666666667,School,513808336,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-13 16:32:16
-Khd9twu5OROAGCs3LpW,To Home,Description of the activity...,60463,16.795277777777777,3189,0.8858333333333334,Home,513810918,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-13 17:15:18
-KhglYPhTyXb5T8GLeeB,To Friend's Places,Description of the activity...,88489,24.580277777777777,21370,5.936111111111111,Home,513871381,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-14 10:03:01
-Khm26IF0RdG8z7uEFwQ,To Friend's Places,Description of the activity...,31445,8.734722222222222,1086,0.3016666666666667,Home,513959870,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-15 10:37:50
-Khnv38AHFhHZcVFQDk5,To Friend's Places,Description of the activity...,67137,18.649166666666666,6099,1.6941666666666666,Home,513991315,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-15 19:21:55
-KhrvAA7BMyyp3Z0_p5b,To Home,Description of the activity...,62971,17.491944444444446,17467,4.851944444444444,Restaurant,514058452,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-16 14:00:52
-Khvez8B6rTFM4N-Ul06,To Work,Description of the activity...,33546,9.318333333333333,1835,0.5097222222222222,Home,514121317,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-17 07:28:37
-KhxewyV7iibzwjpMNJT,To School,Description of the activity...,51624,14.34,4791,1.3308333333333333,Work,514154863,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-17 16:47:43
-Ki-jsQwGp-aoKfy4Xpi,To Work,Description of the activity...,22484,6.245555555555556,46,0.012777777777777779,Home,514206487,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-18 07:08:07
-Ki14de6YiVZ1A_rYOnw,To Friend's Places,Description of the activity...,9838,2.7327777777777778,1571,0.4363888888888889,Work,514228971,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-18 13:22:51
-Ki1fAhepmJzipUO7ZHX,To Friend's Places,Description of the activity...,5958,1.655,5088,1.4133333333333333,Work,514238809,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-18 16:06:49
-Ki20u4uu4GIaZ4GsOIN,To Home,Description of the activity...,47354,13.153888888888888,611,0.16972222222222222,Shop,514244767,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-18 17:46:07
-Ki4qYEzENaJG1Loxl7L,To Work,Description of the activity...,36567,10.1575,2211,0.6141666666666666,Home,514292121,CvG2NFL7EWQSfN4GNduRH0k49k63,ndamji,2017-04-19 06:55:21
-Ki711g4aMW0g193N6MU,To Home,Description of the activity...,50782,14.106111111111112,50782,14.106111111111112,Work,514328688,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-19 17:04:48
-KiA2kkVkFvMVvQAUD8d,To Work,Description of the activity...,1395706,387.6961111111111,33,0.009166666666666667,Home,514379470,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-04-20 07:11:10
-KjTExIZY91tALZZp6E1,Miscs,Description of the activity...,119743,33.261944444444445,1941,0.5391666666666667,Home,515775176,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-05-06 10:52:56
-Kj_NjLS-WhyQ0OX_G-T,To Home,Description of the activity...,40152,11.153333333333334,2476,0.6877777777777778,Miscs,515894919,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-05-07 20:08:39
-Kjblu-WqvZODHm9LMX1,To Work,Description of the activity...,33627,9.340833333333334,1384,0.3844444444444444,Home,515935071,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-05-08 07:17:51
-KjdmAnWVeeLzC0OVMID,To School,Description of the activity...,1975,0.5486111111111112,1675,0.4652777777777778,Work,515968698,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-05-08 16:38:18
-Kjdti-cWKibSE47bnyK,To Home,Description of the activity...,73376,20.38222222222222,1990,0.5527777777777778,School,515970673,CvG2NFL7EWQSfN4GNduRH0k49k63,Nilufar,2017-05-08 17:11:13
